Using device: cpu
Epoch 1/30 | Train Loss: 1.1817 | Train Acc: 0.5583 | Val Loss: 0.7833 | Val Acc: 0.7120
Epoch 2/30 | Train Loss: 0.7169 | Train Acc: 0.7324 | Val Loss: 0.5599 | Val Acc: 0.7745
Epoch 3/30 | Train Loss: 0.5318 | Train Acc: 0.8022 | Val Loss: 0.4306 | Val Acc: 0.8429
Epoch 4/30 | Train Loss: 0.4403 | Train Acc: 0.8400 | Val Loss: 0.4079 | Val Acc: 0.8516
Epoch 5/30 | Train Loss: 0.4054 | Train Acc: 0.8524 | Val Loss: 0.4030 | Val Acc: 0.8534
Epoch 6/30 | Train Loss: 0.3825 | Train Acc: 0.8573 | Val Loss: 0.3343 | Val Acc: 0.8727
Epoch 7/30 | Train Loss: 0.3603 | Train Acc: 0.8684 | Val Loss: 0.3068 | Val Acc: 0.8908
Epoch 8/30 | Train Loss: 0.3314 | Train Acc: 0.8787 | Val Loss: 0.3246 | Val Acc: 0.8914
Epoch 9/30 | Train Loss: 0.3051 | Train Acc: 0.8915 | Val Loss: 0.2771 | Val Acc: 0.8984
Epoch 10/30 | Train Loss: 0.2846 | Train Acc: 0.8966 | Val Loss: 0.2841 | Val Acc: 0.8943
Epoch 11/30 | Train Loss: 0.2663 | Train Acc: 0.9026 | Val Loss: 0.2419 | Val Acc: 0.9159
Epoch 12/30 | Train Loss: 0.2487 | Train Acc: 0.9102 | Val Loss: 0.2535 | Val Acc: 0.9147
Epoch 13/30 | Train Loss: 0.2257 | Train Acc: 0.9175 | Val Loss: 0.3260 | Val Acc: 0.8855
Epoch 14/30 | Train Loss: 0.2142 | Train Acc: 0.9232 | Val Loss: 0.3114 | Val Acc: 0.8838
Epoch 15/30 | Train Loss: 0.2002 | Train Acc: 0.9270 | Val Loss: 0.2188 | Val Acc: 0.9252
Epoch 16/30 | Train Loss: 0.1906 | Train Acc: 0.9286 | Val Loss: 0.2310 | Val Acc: 0.9246
Epoch 17/30 | Train Loss: 0.1718 | Train Acc: 0.9364 | Val Loss: 0.2097 | Val Acc: 0.9322
Epoch 18/30 | Train Loss: 0.1685 | Train Acc: 0.9390 | Val Loss: 0.2156 | Val Acc: 0.9287
Epoch 19/30 | Train Loss: 0.1574 | Train Acc: 0.9428 | Val Loss: 0.2176 | Val Acc: 0.9305
Epoch 20/30 | Train Loss: 0.1547 | Train Acc: 0.9436 | Val Loss: 0.3335 | Val Acc: 0.8914
Epoch 21/30 | Train Loss: 0.1363 | Train Acc: 0.9502 | Val Loss: 0.2159 | Val Acc: 0.9293
Epoch 22/30 | Train Loss: 0.1373 | Train Acc: 0.9499 | Val Loss: 0.2123 | Val Acc: 0.9270
Epoch 23/30 | Train Loss: 0.1288 | Train Acc: 0.9519 | Val Loss: 0.2304 | Val Acc: 0.9252
Epoch 24/30 | Train Loss: 0.1141 | Train Acc: 0.9592 | Val Loss: 0.2327 | Val Acc: 0.9241
Epoch 25/30 | Train Loss: 0.1067 | Train Acc: 0.9614 | Val Loss: 0.2418 | Val Acc: 0.9171
Epoch 26/30 | Train Loss: 0.1130 | Train Acc: 0.9594 | Val Loss: 0.2052 | Val Acc: 0.9340
Epoch 27/30 | Train Loss: 0.0843 | Train Acc: 0.9701 | Val Loss: 0.2618 | Val Acc: 0.9235
Epoch 28/30 | Train Loss: 0.0940 | Train Acc: 0.9666 | Val Loss: 0.2258 | Val Acc: 0.9340
Epoch 29/30 | Train Loss: 0.0824 | Train Acc: 0.9710 | Val Loss: 0.2450 | Val Acc: 0.9299
Epoch 30/30 | Train Loss: 0.0676 | Train Acc: 0.9752 | Val Loss: 0.3093 | Val Acc: 0.9182
Final Test Results | Test Loss: 0.3012 | Test Acc: 0.9097
