Using device: cuda
Epoch 1/30 | Train Loss: 0.4091 | Train Acc: 0.8534 | Val Loss: 0.3655 | Val Acc: 0.8645
Epoch 2/30 | Train Loss: 0.2566 | Train Acc: 0.9063 | Val Loss: 0.4948 | Val Acc: 0.8522
Epoch 3/30 | Train Loss: 0.1976 | Train Acc: 0.9298 | Val Loss: 0.6381 | Val Acc: 0.8289
Epoch 4/30 | Train Loss: 0.1642 | Train Acc: 0.9421 | Val Loss: 0.3582 | Val Acc: 0.8762
Epoch 5/30 | Train Loss: 0.1434 | Train Acc: 0.9500 | Val Loss: 0.2385 | Val Acc: 0.9211
Epoch 6/30 | Train Loss: 0.1179 | Train Acc: 0.9569 | Val Loss: 0.3138 | Val Acc: 0.9025
Epoch 7/30 | Train Loss: 0.1060 | Train Acc: 0.9630 | Val Loss: 0.2257 | Val Acc: 0.9276
Epoch 8/30 | Train Loss: 0.0879 | Train Acc: 0.9697 | Val Loss: 0.1902 | Val Acc: 0.9398
Epoch 9/30 | Train Loss: 0.0823 | Train Acc: 0.9721 | Val Loss: 0.3459 | Val Acc: 0.9030
Epoch 10/30 | Train Loss: 0.0686 | Train Acc: 0.9752 | Val Loss: 0.1276 | Val Acc: 0.9579
Epoch 11/30 | Train Loss: 0.0581 | Train Acc: 0.9808 | Val Loss: 0.4078 | Val Acc: 0.8750
Epoch 12/30 | Train Loss: 0.0571 | Train Acc: 0.9806 | Val Loss: 0.7358 | Val Acc: 0.8452
Epoch 13/30 | Train Loss: 0.0401 | Train Acc: 0.9865 | Val Loss: 0.3345 | Val Acc: 0.9065
Epoch 14/30 | Train Loss: 0.0480 | Train Acc: 0.9841 | Val Loss: 0.2966 | Val Acc: 0.9211
Epoch 15/30 | Train Loss: 0.0389 | Train Acc: 0.9863 | Val Loss: 0.2182 | Val Acc: 0.9363
Epoch 16/30 | Train Loss: 0.0365 | Train Acc: 0.9871 | Val Loss: 0.1841 | Val Acc: 0.9515
Epoch 17/30 | Train Loss: 0.0346 | Train Acc: 0.9875 | Val Loss: 0.1282 | Val Acc: 0.9661
Epoch 18/30 | Train Loss: 0.0389 | Train Acc: 0.9860 | Val Loss: 0.4527 | Val Acc: 0.8925
Epoch 19/30 | Train Loss: 0.0191 | Train Acc: 0.9940 | Val Loss: 0.2408 | Val Acc: 0.9328
Epoch 20/30 | Train Loss: 0.0389 | Train Acc: 0.9870 | Val Loss: 0.1653 | Val Acc: 0.9574
Epoch 21/30 | Train Loss: 0.0252 | Train Acc: 0.9922 | Val Loss: 0.2152 | Val Acc: 0.9457
Epoch 22/30 | Train Loss: 0.0416 | Train Acc: 0.9862 | Val Loss: 0.2124 | Val Acc: 0.9539
Epoch 23/30 | Train Loss: 0.0249 | Train Acc: 0.9914 | Val Loss: 0.2533 | Val Acc: 0.9404
Epoch 24/30 | Train Loss: 0.0133 | Train Acc: 0.9957 | Val Loss: 0.2072 | Val Acc: 0.9492
Epoch 25/30 | Train Loss: 0.0224 | Train Acc: 0.9922 | Val Loss: 0.2154 | Val Acc: 0.9474
Epoch 26/30 | Train Loss: 0.0300 | Train Acc: 0.9910 | Val Loss: 0.4869 | Val Acc: 0.9054
Epoch 27/30 | Train Loss: 0.0148 | Train Acc: 0.9948 | Val Loss: 0.1937 | Val Acc: 0.9550
Epoch 28/30 | Train Loss: 0.0074 | Train Acc: 0.9977 | Val Loss: 0.1998 | Val Acc: 0.9597
Epoch 29/30 | Train Loss: 0.0251 | Train Acc: 0.9916 | Val Loss: 0.1679 | Val Acc: 0.9603
Epoch 30/30 | Train Loss: 0.0148 | Train Acc: 0.9950 | Val Loss: 0.2692 | Val Acc: 0.9433
Final Test Results | Test Loss: 0.2839 | Test Acc: 0.9424
